,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
15,Zack Snyder,Christopher Meloni,ActionAdventureFantasySci-Fi,Henry Cavill,Man of Steel,Harry Lennix,Zack Snyder Christopher Meloni ActionAdventureFantasySci-Fi Henry Cavill Harry Lennix
16,Andrew Adamson,Pierfrancesco Favino,ActionAdventureFamilyFantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian,Damián Alcázar,Andrew Adamson Pierfrancesco Favino ActionAdventureFamilyFantasy Peter Dinklage Damián Alcázar
17,Joss Whedon,Robert Downey Jr.,ActionAdventureSci-Fi,Chris Hemsworth,The Avengers,Scarlett Johansson,Joss Whedon Robert Downey Jr. ActionAdventureSci-Fi Chris Hemsworth Scarlett Johansson
18,Rob Marshall,Sam Claflin,ActionAdventureFantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides,Stephen Graham,Rob Marshall Sam Claflin ActionAdventureFantasy Johnny Depp Stephen Graham
19,Barry Sonnenfeld,Michael Stuhlbarg,ActionAdventureComedyFamilyFantasySci-Fi,Will Smith,Men in Black 3,Nicole Scherzinger,Barry Sonnenfeld Michael Stuhlbarg ActionAdventureComedyFamilyFantasySci-Fi Will Smith Nicole Scherzinger
20,Peter Jackson,Adam Brown,AdventureFantasy,Aidan Turner,The Hobbit: The Battle of the Five Armies,James Nesbitt,Peter Jackson Adam Brown AdventureFantasy Aidan Turner James Nesbitt
21,Marc Webb,Andrew Garfield,ActionAdventureFantasy,Emma Stone,The Amazing Spider-Man,Chris Zylka,Marc Webb Andrew Garfield ActionAdventureFantasy Emma Stone Chris Zylka
22,Ridley Scott,William Hurt,ActionAdventureDramaHistory,Mark Addy,Robin Hood,Scott Grimes,Ridley Scott William Hurt ActionAdventureDramaHistory Mark Addy Scott Grimes
23,Peter Jackson,Adam Brown,AdventureFantasy,Aidan Turner,The Hobbit: The Desolation of Smaug,James Nesbitt,Peter Jackson Adam Brown AdventureFantasy Aidan Turner James Nesbitt
24,Chris Weitz,Eva Green,AdventureFamilyFantasy,Christopher Lee,The Golden Compass,Kristin Scott Thomas,Chris Weitz Eva Green AdventureFamilyFantasy Christopher Lee Kristin Scott Thomas
25,Peter Jackson,Thomas Kretschmann,ActionAdventureDramaRomance,Naomi Watts,King Kong,Evan Parke,Peter Jackson Thomas Kretschmann ActionAdventureDramaRomance Naomi Watts Evan Parke
26,James Cameron,Kate Winslet,DramaRomance,Leonardo DiCaprio,Titanic,Gloria Stuart,James Cameron Kate Winslet DramaRomance Leonardo DiCaprio Gloria Stuart
27,Anthony Russo,Scarlett Johansson,ActionAdventureSci-Fi,Robert Downey Jr.,Captain America: Civil War,Chris Evans,Anthony Russo Scarlett Johansson ActionAdventureSci-Fi Robert Downey Jr. Chris Evans
28,Peter Berg,Alexander Skarsgård,ActionAdventureSci-FiThriller,Liam Neeson,Battleship,Tadanobu Asano,Peter Berg Alexander Skarsgård ActionAdventureSci-FiThriller Liam Neeson Tadanobu Asano
29,Colin Trevorrow,Judy Greer,ActionAdventureSci-FiThriller,Bryce Dallas Howard,Jurassic World,Omar Sy,Colin Trevorrow Judy Greer ActionAdventureSci-FiThriller Bryce Dallas Howard Omar Sy
30,Sam Mendes,Helen McCrory,ActionAdventureThriller,Albert Finney,Skyfall,Rory Kinnear,Sam Mendes Helen McCrory ActionAdventureThriller Albert Finney Rory Kinnear
31,Sam Raimi,James Franco,ActionAdventureFantasyRomance,J.K. Simmons,Spider-Man 2,Kirsten Dunst,Sam Raimi James Franco ActionAdventureFantasyRomance J.K. Simmons Kirsten Dunst
32,Shane Black,Jon Favreau,ActionAdventureSci-Fi,Robert Downey Jr.,Iron Man 3,Don Cheadle,Shane Black Jon Favreau ActionAdventureSci-Fi Robert Downey Jr. Don Cheadle
33,Tim Burton,Alan Rickman,AdventureFamilyFantasy,Johnny Depp,Alice in Wonderland,Anne Hathaway,Tim Burton Alan Rickman AdventureFamilyFantasy Johnny Depp Anne Hathaway
34,Brett Ratner,Kelsey Grammer,ActionAdventureFantasySci-FiThriller,Hugh Jackman,X-Men: The Last Stand,Daniel Cudmore,Brett Ratner Kelsey Grammer ActionAdventureFantasySci-FiThriller Hugh Jackman Daniel Cudmore
35,Dan Scanlon,Tyler Labine,AdventureAnimationComedyFamilyFantasy,Steve Buscemi,Monsters University,Sean Hayes,Dan Scanlon Tyler Labine AdventureAnimationComedyFamilyFantasy Steve Buscemi Sean Hayes
36,Michael Bay,Kevin Dunn,ActionAdventureSci-Fi,Glenn Morshower,Transformers: Revenge of the Fallen,Ramon Rodriguez,Michael Bay Kevin Dunn ActionAdventureSci-Fi Glenn Morshower Ramon Rodriguez
37,Michael Bay,Sophia Myles,ActionAdventureSci-Fi,Bingbing Li,Transformers: Age of Extinction,Kelsey Grammer,Michael Bay Sophia Myles ActionAdventureSci-Fi Bingbing Li Kelsey Grammer
38,Sam Raimi,Mila Kunis,AdventureFamilyFantasy,Tim Holmes,Oz the Great and Powerful,James Franco,Sam Raimi Mila Kunis AdventureFamilyFantasy Tim Holmes James Franco
39,Marc Webb,Andrew Garfield,ActionAdventureFantasySci-Fi,Emma Stone,The Amazing Spider-Man 2,B.J. Novak,Marc Webb Andrew Garfield ActionAdventureFantasySci-Fi Emma Stone B.J. Novak
40,Joseph Kosinski,Olivia Wilde,ActionAdventureSci-Fi,Jeff Bridges,TRON: Legacy,James Frain,Joseph Kosinski Olivia Wilde ActionAdventureSci-Fi Jeff Bridges James Frain
41,John Lasseter,Thomas Kretschmann,AdventureAnimationComedyFamilySport,Joe Mantegna,Cars 2,Eddie Izzard,John Lasseter Thomas Kretschmann AdventureAnimationComedyFamilySport Joe Mantegna Eddie Izzard
42,Martin Campbell,Temuera Morrison,ActionAdventureSci-Fi,Ryan Reynolds,Green Lantern,Taika Waititi,Martin Campbell Temuera Morrison ActionAdventureSci-Fi Ryan Reynolds Taika Waititi
43,Lee Unkrich,John Ratzenberger,AdventureAnimationComedyFamilyFantasy,Tom Hanks,Toy Story 3,Don Rickles,Lee Unkrich John Ratzenberger AdventureAnimationComedyFamilyFantasy Tom Hanks Don Rickles
44,McG,Bryce Dallas Howard,ActionAdventureSci-Fi,Christian Bale,Terminator Salvation,Common,McG Bryce Dallas Howard ActionAdventureSci-Fi Christian Bale Common
45,James Wan,Paul Walker,ActionCrimeThriller,Jason Statham,Furious 7,Vin Diesel,James Wan Paul Walker ActionCrimeThriller Jason Statham Vin Diesel
46,Marc Forster,Brad Pitt,ActionAdventureHorrorSci-FiThriller,Peter Capaldi,World War Z,Mireille Enos,Marc Forster Brad Pitt ActionAdventureHorrorSci-FiThriller Peter Capaldi Mireille Enos
47,Bryan Singer,Peter Dinklage,ActionAdventureFantasySci-FiThriller,Jennifer Lawrence,X-Men: Days of Future Past,Hugh Jackman,Bryan Singer Peter Dinklage ActionAdventureFantasySci-FiThriller Jennifer Lawrence Hugh Jackman
48,J.J. Abrams,Bruce Greenwood,ActionAdventureSci-Fi,Benedict Cumberbatch,Star Trek Into Darkness,Noel Clarke,J.J. Abrams Bruce Greenwood ActionAdventureSci-Fi Benedict Cumberbatch Noel Clarke
49,Bryan Singer,Ewen Bremner,AdventureFantasy,Eddie Marsan,Jack the Giant Slayer,Ralph Brown,Bryan Singer Ewen Bremner AdventureFantasy Eddie Marsan Ralph Brown
50,Baz Luhrmann,Elizabeth Debicki,DramaRomance,Leonardo DiCaprio,The Great Gatsby,Steve Bisley,Baz Luhrmann Elizabeth Debicki DramaRomance Leonardo DiCaprio Steve Bisley
51,Mike Newell,Richard Coyle,ActionAdventureFantasyRomance,Jake Gyllenhaal,Prince of Persia: The Sands of Time,Reece Ritchie,Mike Newell Richard Coyle ActionAdventureFantasyRomance Jake Gyllenhaal Reece Ritchie
52,Guillermo del Toro,Clifton Collins Jr.,ActionAdventureSci-Fi,Charlie Hunnam,Pacific Rim,Larry Joe Campbell,Guillermo del Toro Clifton Collins Jr. ActionAdventureSci-Fi Charlie Hunnam Larry Joe Campbell
53,Michael Bay,Lester Speight,ActionAdventureSci-Fi,Glenn Morshower,Transformers: Dark of the Moon,Kevin Dunn,Michael Bay Lester Speight ActionAdventureSci-Fi Glenn Morshower Kevin Dunn
54,Steven Spielberg,Ray Winstone,ActionAdventureFantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull,Jim Broadbent,Steven Spielberg Ray Winstone ActionAdventureFantasy Harrison Ford Jim Broadbent
55,Peter Sohn,Jack McGraw,AdventureAnimationComedyFamilyFantasy,A.J. Buckley,The Good Dinosaur,Peter Sohn,Peter Sohn Jack McGraw AdventureAnimationComedyFamilyFantasy A.J. Buckley Peter Sohn
56,Mark Andrews,John Ratzenberger,AdventureAnimationComedyFamilyFantasy,Kelly Macdonald,Brave,Julie Walters,Mark Andrews John Ratzenberger AdventureAnimationComedyFamilyFantasy Kelly Macdonald Julie Walters
57,Justin Lin,Melissa Roxburgh,ActionAdventureSci-FiThriller,Sofia Boutella,Star Trek Beyond,Lydia Wilson,Justin Lin Melissa Roxburgh ActionAdventureSci-FiThriller Sofia Boutella Lydia Wilson
58,Andrew Stanton,Fred Willard,AdventureAnimationFamilySci-Fi,John Ratzenberger,WALL·E,Jeff Garlin,Andrew Stanton Fred Willard AdventureAnimationFamilySci-Fi John Ratzenberger Jeff Garlin
59,Brett Ratner,Dana Ivey,ActionComedyCrimeThriller,Tzi Ma,Rush Hour 3,Noémie Lenoir,Brett Ratner Dana Ivey ActionComedyCrimeThriller Tzi Ma Noémie Lenoir
60,Roland Emmerich,Liam James,ActionAdventureSci-Fi,Oliver Platt,2012,Tom McCarthy,Roland Emmerich Liam James ActionAdventureSci-Fi Oliver Platt Tom McCarthy
61,Robert Zemeckis,Colin Firth,AnimationDramaFamilyFantasy,Robin Wright,A Christmas Carol,Gary Oldman,Robert Zemeckis Colin Firth AnimationDramaFamilyFantasy Robin Wright Gary Oldman
62,Lana Wachowski,Mila Kunis,ActionAdventureSci-Fi,Channing Tatum,Jupiter Ascending,Eddie Redmayne,Lana Wachowski Mila Kunis ActionAdventureSci-Fi Channing Tatum Eddie Redmayne
63,David Yates,Alexander Skarsgård,ActionAdventureDramaRomance,Christoph Waltz,The Legend of Tarzan,Casper Crump,David Yates Alexander Skarsgård ActionAdventureDramaRomance Christoph Waltz Casper Crump
64,Andrew Adamson,Kiran Shah,AdventureFamilyFantasy,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Shane Rangi,Andrew Adamson Kiran Shah AdventureFamilyFantasy Jim Broadbent Shane Rangi
65,Bryan Singer,Michael Fassbender,ActionAdventureSci-Fi,Jennifer Lawrence,X-Men: Apocalypse,Tye Sheridan,Bryan Singer Michael Fassbender ActionAdventureSci-Fi Jennifer Lawrence Tye Sheridan
66,Christopher Nolan,Heath Ledger,ActionCrimeDramaThriller,Christian Bale,The Dark Knight,Morgan Freeman,Christopher Nolan Heath Ledger ActionCrimeDramaThriller Christian Bale Morgan Freeman
67,Pete Docter,Delroy Lindo,AdventureAnimationComedyFamily,John Ratzenberger,Up,Jess Harnell,Pete Docter Delroy Lindo AdventureAnimationComedyFamily John Ratzenberger Jess Harnell
68,Rob Letterman,Rainn Wilson,ActionAdventureAnimationComedyFamilySci-Fi,Amy Poehler,Monsters vs. Aliens,Stephen Colbert,Rob Letterman Rainn Wilson ActionAdventureAnimationComedyFamilySci-Fi Amy Poehler Stephen Colbert
69,Jon Favreau,Jeff Bridges,ActionAdventureSci-Fi,Robert Downey Jr.,Iron Man,Jon Favreau,Jon Favreau Jeff Bridges ActionAdventureSci-Fi Robert Downey Jr. Jon Favreau
70,Martin Scorsese,Christopher Lee,AdventureDramaFamilyMystery,Chloë Grace Moretz,Hugo,Ray Winstone,Martin Scorsese Christopher Lee AdventureDramaFamilyMystery Chloë Grace Moretz Ray Winstone
71,Barry Sonnenfeld,Salma Hayek,ActionComedySci-FiWestern,Will Smith,Wild Wild West,Bai Ling,Barry Sonnenfeld Salma Hayek ActionComedySci-FiWestern Will Smith Bai Ling
72,Rob Cohen,Brendan Fraser,ActionAdventureFantasyHorrorThriller,Jet Li,The Mummy: Tomb of the Dragon Emperor,Russell Wong,Rob Cohen Brendan Fraser ActionAdventureFantasyHorrorThriller Jet Li Russell Wong
73,David Ayer,Robin Atkin Downes,ActionAdventureComedySci-Fi,Will Smith,Suicide Squad,Ike Barinholtz,David Ayer Robin Atkin Downes ActionAdventureComedySci-Fi Will Smith Ike Barinholtz
74,Tom Shadyac,Morgan Freeman,ComedyFamilyFantasy,Jimmy Bennett,Evan Almighty,Steve Carell,Tom Shadyac Morgan Freeman ComedyFamilyFantasy Jimmy Bennett Steve Carell
75,Doug Liman,Lara Pulver,ActionAdventureSci-Fi,Tom Cruise,Edge of Tomorrow,Noah Taylor,Doug Liman Lara Pulver ActionAdventureSci-Fi Tom Cruise Noah Taylor
76,Kevin Reynolds,Rick Aviles,ActionAdventureSci-FiThriller,Jeanne Tripplehorn,Waterworld,Zakes Mokae,Kevin Reynolds Rick Aviles ActionAdventureSci-FiThriller Jeanne Tripplehorn Zakes Mokae
77,Stephen Sommers,Dennis Quaid,ActionAdventureSci-FiThriller,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra,Leo Howard,Stephen Sommers Dennis Quaid ActionAdventureSci-FiThriller Joseph Gordon-Levitt Leo Howard
78,Pete Docter,Mindy Kaling,AdventureAnimationComedyDramaFamilyFantasy,Amy Poehler,Inside Out,Phyllis Smith,Pete Docter Mindy Kaling AdventureAnimationComedyDramaFamilyFantasy Amy Poehler Phyllis Smith
79,Jon Favreau,Bill Murray,AdventureDramaFamilyFantasy,Scarlett Johansson,The Jungle Book,Garry Shandling,Jon Favreau Bill Murray AdventureDramaFamilyFantasy Scarlett Johansson Garry Shandling
80,Jon Favreau,Scarlett Johansson,ActionAdventureSci-Fi,Robert Downey Jr.,Iron Man 2,Jon Favreau,Jon Favreau Scarlett Johansson ActionAdventureSci-Fi Robert Downey Jr. Jon Favreau
81,Rupert Sanders,Kristen Stewart,ActionAdventureDramaFantasy,Chris Hemsworth,Snow White and the Huntsman,Sam Claflin,Rupert Sanders Kristen Stewart ActionAdventureDramaFantasy Chris Hemsworth Sam Claflin
82,Robert Stromberg,Sharlto Copley,ActionAdventureFamilyFantasyRomance,Angelina Jolie Pitt,Maleficent,Sam Riley,Robert Stromberg Sharlto Copley ActionAdventureFamilyFantasyRomance Angelina Jolie Pitt Sam Riley
83,Matt Reeves,Judy Greer,ActionAdventureDramaSci-Fi,Gary Oldman,Dawn of the Planet of the Apes,Kodi Smit-McPhee,Matt Reeves Judy Greer ActionAdventureDramaSci-Fi Gary Oldman Kodi Smit-McPhee
84,Roland Joffé,Alice Englert,ActionAdventureRomanceSci-Fi,Tamsin Egerton,The Lovers,Bipasha Basu,Roland Joffé Alice Englert ActionAdventureRomanceSci-Fi Tamsin Egerton Bipasha Basu
85,Carl Rinsch,Cary-Hiroyuki Tagawa,ActionAdventureDramaFantasy,Keanu Reeves,47 Ronin,Jin Akanishi,Carl Rinsch Cary-Hiroyuki Tagawa ActionAdventureDramaFantasy Keanu Reeves Jin Akanishi
86,Anthony Russo,Chris Evans,ActionAdventureSci-Fi,Scarlett Johansson,Captain America: The Winter Soldier,Hayley Atwell,Anthony Russo Chris Evans ActionAdventureSci-Fi Scarlett Johansson Hayley Atwell
87,Mike Mitchell,Kathy Griffin,AdventureAnimationComedyFamilyFantasy,Jon Hamm,Shrek Forever After,Mary Kay Place,Mike Mitchell Kathy Griffin AdventureAnimationComedyFamilyFantasy Jon Hamm Mary Kay Place
88,Brad Bird,Chris Bauer,ActionAdventureFamilyMysterySci-Fi,Judy Greer,Tomorrowland,Thomas Robinson,Brad Bird Chris Bauer ActionAdventureFamilyMysterySci-Fi Judy Greer Thomas Robinson
89,Don Hall,Daniel Henney,ActionAdventureAnimationComedyDramaFamilySci-Fi,Damon Wayans Jr.,Big Hero 6,Abraham Benrubi,Don Hall Daniel Henney ActionAdventureAnimationComedyDramaFamilySci-Fi Damon Wayans Jr. Abraham Benrubi
90,Rich Moore,Sarah Silverman,AdventureAnimationComedyFamilySci-Fi,Jack McBrayer,Wreck-It Ralph,Joe Lo Truglio,Rich Moore Sarah Silverman AdventureAnimationComedyFamilySci-Fi Jack McBrayer Joe Lo Truglio
91,Robert Zemeckis,Eddie Deezen,AdventureAnimationFamilyFantasy,Tom Hanks,The Polar Express,Peter Scolari,Robert Zemeckis Eddie Deezen AdventureAnimationFamilyFantasy Tom Hanks Peter Scolari
92,Roland Emmerich,Sela Ward,ActionAdventureSci-Fi,Vivica A. Fox,Independence Day: Resurgence,Judd Hirsch,Roland Emmerich Sela Ward ActionAdventureSci-Fi Vivica A. Fox Judd Hirsch
93,Dean DeBlois,America Ferrera,AdventureAnimationFamilyFantasy,Gerard Butler,How to Train Your Dragon,Craig Ferguson,Dean DeBlois America Ferrera AdventureAnimationFamilyFantasy Gerard Butler Craig Ferguson
94,Jonathan Mostow,M.C. Gainey,ActionSci-Fi,Nick Stahl,Terminator 3: Rise of the Machines,Carolyn Hennesy,Jonathan Mostow M.C. Gainey ActionSci-Fi Nick Stahl Carolyn Hennesy
95,James Gunn,Vin Diesel,ActionAdventureSci-Fi,Bradley Cooper,Guardians of the Galaxy,Djimon Hounsou,James Gunn Vin Diesel ActionAdventureSci-Fi Bradley Cooper Djimon Hounsou
96,Christopher Nolan,Anne Hathaway,AdventureDramaSci-Fi,Matthew McConaughey,Interstellar,Mackenzie Foy,Christopher Nolan Anne Hathaway AdventureDramaSci-Fi Matthew McConaughey Mackenzie Foy
97,Christopher Nolan,Tom Hardy,ActionAdventureSci-FiThriller,Leonardo DiCaprio,Inception,Joseph Gordon-Levitt,Christopher Nolan Tom Hardy ActionAdventureSci-FiThriller Leonardo DiCaprio Joseph Gordon-Levitt
98,Hideaki Anno,Shin'ya Tsukamoto,ActionAdventureDramaHorrorSci-Fi,Mark Chinnery,Godzilla Resurgence,Atsuko Maeda,Hideaki Anno Shin'ya Tsukamoto ActionAdventureDramaHorrorSci-Fi Mark Chinnery Atsuko Maeda
99,Peter Jackson,Adam Brown,AdventureFantasy,Aidan Turner,The Hobbit: An Unexpected Journey,James Nesbitt,Peter Jackson Adam Brown AdventureFantasy Aidan Turner James Nesbitt
100,Rob Cohen,Vin Diesel,ActionCrimeThriller,Paul Walker,The Fast and the Furious,Jordana Brewster,Rob Cohen Vin Diesel ActionCrimeThriller Paul Walker Jordana Brewster
101,David Fincher,Jason Flemyng,DramaFantasyRomance,Brad Pitt,The Curious Case of Benjamin Button,Julia Ormond,David Fincher Jason Flemyng DramaFantasyRomance Brad Pitt Julia Ormond
102,Matthew Vaughn,Michael Fassbender,ActionAdventureSci-Fi,Jennifer Lawrence,X-Men: First Class,Oliver Platt,Matthew Vaughn Michael Fassbender ActionAdventureSci-Fi Jennifer Lawrence Oliver Platt
103,Francis Lawrence,Philip Seymour Hoffman,AdventureSci-Fi,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2,Josh Hutcherson,Francis Lawrence Philip Seymour Hoffman AdventureSci-Fi Jennifer Lawrence Josh Hutcherson
104,Jon Turteltaub,Omar Benson Miller,ActionAdventureFamilyFantasy,Nicolas Cage,The Sorcerer's Apprentice,Robert Capron,Jon Turteltaub Omar Benson Miller ActionAdventureFamilyFantasy Nicolas Cage Robert Capron
105,Wolfgang Petersen,Mike Vogel,ActionAdventureDramaThriller,Jimmy Bennett,Poseidon,Andre Braugher,Wolfgang Petersen Mike Vogel ActionAdventureDramaThriller Jimmy Bennett Andre Braugher
106,James Bobin,Alan Rickman,AdventureFamilyFantasy,Johnny Depp,Alice Through the Looking Glass,Anne Hathaway,James Bobin Alan Rickman AdventureFamilyFantasy Johnny Depp Anne Hathaway
107,Chris Miller,Eric Idle,AdventureAnimationComedyFamilyFantasy,Justin Timberlake,Shrek the Third,Rupert Everett,Chris Miller Eric Idle AdventureAnimationComedyFamilyFantasy Justin Timberlake Rupert Everett
108,Duncan Jones,Callum Rennie,ActionAdventureFantasy,Dominic Cooper,Warcraft,Ruth Negga,Duncan Jones Callum Rennie ActionAdventureFantasy Dominic Cooper Ruth Negga
109,Alan Taylor,Emilia Clarke,ActionAdventureSci-Fi,J.K. Simmons,Terminator Genisys,Matt Smith,Alan Taylor Emilia Clarke ActionAdventureSci-Fi J.K. Simmons Matt Smith
110,Michael Apted,Shane Rangi,AdventureFamilyFantasy,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader,Laura Brent,Michael Apted Shane Rangi AdventureFamilyFantasy Bruce Spence Laura Brent
111,Michael Bay,Jaime King,ActionDramaHistoryRomanceWar,Jennifer Garner,Pearl Harbor,Mako,Michael Bay Jaime King ActionDramaHistoryRomanceWar Jennifer Garner Mako
112,Michael Bay,Michael O'Neill,ActionAdventureSci-Fi,Zack Ward,Transformers,Kevin Dunn,Michael Bay Michael O'Neill ActionAdventureSci-Fi Zack Ward Kevin Dunn
113,Oliver Stone,Angelina Jolie Pitt,ActionAdventureBiographyDramaHistoryRomanceWar,Anthony Hopkins,Alexander,Brian Blessed,Oliver Stone Angelina Jolie Pitt ActionAdventureBiographyDramaHistoryRomanceWar Anthony Hopkins Brian Blessed
114,David Yates,Daniel Radcliffe,AdventureFamilyFantasyMystery,Robert Pattinson,Harry Potter and the Order of the Phoenix,Fiona Shaw,David Yates Daniel Radcliffe AdventureFamilyFantasyMystery Robert Pattinson Fiona Shaw
115,Mike Newell,Daniel Radcliffe,AdventureFamilyFantasyMystery,Robert Pattinson,Harry Potter and the Goblet of Fire,Rupert Grint,Mike Newell Daniel Radcliffe AdventureFamilyFantasyMystery Robert Pattinson Rupert Grint
116,Peter Berg,Charlize Theron,ActionDrama,Will Smith,Hancock,Eddie Marsan,Peter Berg Charlize Theron ActionDrama Will Smith Eddie Marsan
117,Francis Lawrence,Alice Braga,DramaHorrorSci-Fi,Will Smith,I Am Legend,Willow Smith,Francis Lawrence Alice Braga DramaHorrorSci-Fi Will Smith Willow Smith
118,Tim Burton,Christopher Lee,AdventureComedyFamilyFantasy,Johnny Depp,Charlie and the Chocolate Factory,David Kelly,Tim Burton Christopher Lee AdventureComedyFamilyFantasy Johnny Depp David Kelly
119,Brad Bird,John Ratzenberger,AnimationComedyFamilyFantasy,Janeane Garofalo,Ratatouille,Brian Dennehy,Brad Bird John Ratzenberger AnimationComedyFamilyFantasy Janeane Garofalo Brian Dennehy
120,Christopher Nolan,Liam Neeson,ActionAdventure,Christian Bale,Batman Begins,Morgan Freeman,Christopher Nolan Liam Neeson ActionAdventure Christian Bale Morgan Freeman
121,Eric Darnell,Jada Pinkett Smith,ActionAdventureAnimationComedyFamily,Bernie Mac,Madagascar: Escape 2 Africa,Cedric the Entertainer,Eric Darnell Jada Pinkett Smith ActionAdventureAnimationComedyFamily Bernie Mac Cedric the Entertainer
122,Shawn Levy,Rami Malek,AdventureComedyFamilyFantasy,Robin Williams,Night at the Museum: Battle of the Smithsonian,Steve Coogan,Shawn Levy Rami Malek AdventureComedyFamilyFantasy Robin Williams Steve Coogan
123,Gavin Hood,Ryan Reynolds,ActionAdventureFantasySci-FiThriller,Hugh Jackman,X-Men Origins: Wolverine,Dominic Monaghan,Gavin Hood Ryan Reynolds ActionAdventureFantasySci-FiThriller Hugh Jackman Dominic Monaghan
124,Lana Wachowski,Collin Chou,ActionSci-Fi,Essie Davis,The Matrix Revolutions,Nona Gaye,Lana Wachowski Collin Chou ActionSci-Fi Essie Davis Nona Gaye
125,Chris Buck,Maurice LaMarche,AdventureAnimationComedyFamilyFantasyMusical,Josh Gad,Frozen,Livvy Stubenrauch,Chris Buck Maurice LaMarche AdventureAnimationComedyFamilyFantasyMusical Josh Gad Livvy Stubenrauch
126,Lana Wachowski,Daniel Bernhardt,ActionSci-Fi,Steve Bastoni,The Matrix Reloaded,Helmut Bakaitis,Lana Wachowski Daniel Bernhardt ActionSci-Fi Steve Bastoni Helmut Bakaitis
127,Alan Taylor,Natalie Portman,ActionAdventureFantasy,Chris Hemsworth,Thor: The Dark World,Anthony Hopkins,Alan Taylor Natalie Portman ActionAdventureFantasy Chris Hemsworth Anthony Hopkins
128,George Miller,Charlize Theron,ActionAdventureSci-FiThriller,Tom Hardy,Mad Max: Fury Road,Zoë Kravitz,George Miller Charlize Theron ActionAdventureSci-FiThriller Tom Hardy Zoë Kravitz
129,Ron Howard,Ayelet Zurer,MysteryThriller,Tom Hanks,Angels & Demons,Armin Mueller-Stahl,Ron Howard Ayelet Zurer MysteryThriller Tom Hanks Armin Mueller-Stahl
130,Kenneth Branagh,Natalie Portman,ActionAdventureFantasy,Chris Hemsworth,Thor,Anthony Hopkins,Kenneth Branagh Natalie Portman ActionAdventureFantasy Chris Hemsworth Anthony Hopkins
